customer_id,name,age,gender,city,preferred_channel,loyalty_score,historical_engagement
C00001,Christopher Yoder,29,M,Muharraq,Call,0.82,100
C00002,Mr. Taylor Fry,23,F,Riffa,App,0.4,72
C00003,Andrew Bernard DDS,59,M,Riffa,Email,0.75,33
C00004,Scott Salinas,52,F,Isa Town,SMS,0.81,99
C00005,Timothy Graham,44,M,Riffa,Email,0.41,77
C00006,Paul Ward,23,M,Manama,App,0.46,36
C00007,Daniel Parks,23,M,Manama,Email,0.17,31
C00008,Tanya Johnson,32,M,Manama,Call,0.39,37
C00009,Steven Thomas,32,M,Isa Town,App,0.97,1
C00010,Marilyn Roy,64,M,Muharraq,Email,0.99,57
C00011,Todd Villa,32,F,Riffa,SMS,0.89,4
C00012,Jimmy Chavez,19,F,Muharraq,App,0.29,43
C00013,Tyler Guerrero,36,F,Manama,Call,0.96,83
C00014,Joshua Garcia,36,F,Muharraq,Call,0.75,93
C00015,Joseph Booker,48,M,Manama,SMS,0.64,91
C00016,Christina Vincent,47,F,Manama,SMS,0.16,72
C00017,Samantha Salas,44,F,Isa Town,SMS,0.38,76
C00018,Daniel Hernandez,19,F,Riffa,Email,0.37,60
C00019,Melanie Lynch,51,M,Manama,Call,0.47,11
C00020,Sarah Castro,51,F,Riffa,Call,0.36,34
C00021,Tony Hooper,40,M,Isa Town,App,0.69,9
C00022,Mitchell Guzman,49,M,Isa Town,App,0.31,57
C00023,Holly Armstrong,61,F,Riffa,SMS,0.4,26
C00024,Sheila Black,35,F,Muharraq,Call,0.89,66
C00025,Benjamin Solis,47,F,Riffa,Call,0.16,98
C00026,Eric George,26,M,Isa Town,SMS,0.48,81
C00027,Leslie Beasley,20,M,Isa Town,SMS,0.23,12
C00028,Morgan Robinson,18,F,Riffa,Email,0.8,41
C00029,Donna Ramos,46,F,Isa Town,Call,0.53,16
C00030,Keith Lopez,50,F,Manama,SMS,0.36,95
C00031,Kristen Payne,20,F,Riffa,Call,0.31,87
C00032,Nicole Robinson,55,M,Riffa,Call,0.05,42
C00033,Sarah Kelly,49,M,Muharraq,Call,0.23,4
C00034,Travis Ponce,21,M,Muharraq,Email,0.9,58
C00035,Gabriel Williams,46,F,Riffa,Call,0.08,42
C00036,Valerie Ochoa,19,M,Manama,Email,0.11,69
C00037,Duane Jordan,56,F,Muharraq,App,0.61,23
C00038,Melissa Love,65,M,Manama,Email,0.17,5
C00039,William Vega,30,M,Manama,Email,0.02,87
C00040,Eric Clark,42,M,Manama,Call,0.58,12
C00041,Christopher Shields,37,F,Isa Town,Email,0.75,44
C00042,Heather Evans,28,F,Riffa,App,0.78,45
C00043,Andrea Mason,20,F,Isa Town,Email,0.37,24
C00044,Candace Gregory,64,F,Manama,Email,0.89,37
C00045,Alice Evans,57,F,Manama,App,0.27,60
C00046,Derek Long,36,M,Manama,Call,0.1,8
C00047,Jacob Buchanan DDS,65,F,Muharraq,Call,0.65,46
C00048,Crystal Erickson,49,M,Manama,SMS,0.88,48
C00049,Jodi Lowe,27,M,Riffa,SMS,0.4,32
C00050,Clayton Booker,22,M,Isa Town,Email,0.05,98
C00051,Brenda Hayes,18,M,Riffa,App,0.26,28
C00052,Jessica Garcia,46,M,Isa Town,Email,0.57,69
C00053,Benjamin Mckinney,19,M,Muharraq,Call,0.77,44
C00054,John Dominguez,24,F,Isa Town,SMS,0.25,18
C00055,Miguel Mcmahon,42,M,Muharraq,Call,0.91,90
C00056,Michael Bass,33,M,Isa Town,Call,0.6,38
C00057,Janet Riley,24,F,Muharraq,SMS,0.4,28
C00058,Samuel Walker,48,F,Manama,App,0.08,72
C00059,Anthony Dorsey,65,F,Muharraq,Call,0.62,72
C00060,Gary Wilson,35,F,Manama,SMS,0.24,73
C00061,Jessica Smith,54,F,Riffa,Email,0.46,53
C00062,Martha Larsen,25,M,Manama,Email,0.37,23
C00063,James Weaver,51,F,Muharraq,SMS,0.54,21
C00064,Kathy Diaz,24,M,Manama,Email,0.11,85
C00065,Adam Spencer,57,M,Muharraq,Email,0.74,33
C00066,Nicole Reynolds,30,F,Isa Town,App,0.12,88
C00067,Shelley Hurst,29,F,Riffa,SMS,0.05,28
C00068,Stephanie Gonzalez,37,F,Riffa,App,0.1,1
C00069,Michael Lopez,21,M,Riffa,Call,0.61,55
C00070,Melissa Cook,39,F,Manama,Email,0.66,41
C00071,Tamara Marquez,26,M,Riffa,Call,0.47,85
C00072,Alicia Lee,48,F,Manama,SMS,0.31,79
C00073,Robert Tate,60,F,Muharraq,SMS,0.96,88
C00074,Ryan Miller,28,M,Muharraq,Email,0.47,45
C00075,Heather Long,23,M,Riffa,Email,0.37,75
C00076,Benjamin Burns,46,F,Muharraq,Email,0.38,33
C00077,Mrs. Crystal Hughes,51,M,Manama,App,0.64,7
C00078,Erik Ali DDS,47,F,Isa Town,Call,0.68,96
C00079,Sophia Hartman,60,M,Muharraq,Email,0.08,93
C00080,Angel Martinez,26,F,Isa Town,SMS,0.5,77
C00081,Donna Smith,41,F,Riffa,SMS,0.06,48
C00082,Melody Gross,19,F,Muharraq,Email,0.96,64
C00083,Melissa Mcgrath,56,F,Riffa,SMS,0.66,15
C00084,Michelle Hansen,32,F,Muharraq,Email,0.79,20
C00085,Colin Rowe,39,M,Isa Town,App,0.54,46
C00086,Eric Nelson,24,F,Riffa,Email,0.58,38
C00087,James Hughes,25,M,Manama,Email,0.83,58
C00088,Sarah Cooper,63,M,Isa Town,SMS,0.2,47
C00089,Courtney Morris,21,F,Muharraq,Email,0.72,96
C00090,Lawrence Perry,20,F,Muharraq,App,0.77,71
C00091,Justin Lopez,35,M,Muharraq,SMS,0.82,91
C00092,Nathaniel Bishop,48,F,Muharraq,App,0.95,7
C00093,Taylor West,41,F,Riffa,App,0.53,16
C00094,Michael Arias,34,M,Manama,Email,0.66,1
C00095,David Reeves,63,F,Manama,SMS,0.7,87
C00096,Javier Bright,32,F,Manama,Call,0.15,29
C00097,Melissa Flores,19,M,Manama,App,0.77,23
C00098,Robin Carson,41,M,Riffa,SMS,0.8,75
C00099,Nicholas Smith,30,F,Muharraq,App,0.87,89
C00100,Albert Clark MD,48,F,Riffa,Email,0.38,15
C00101,Hannah Santos,55,F,Isa Town,App,0.68,1
C00102,Justin Noble,65,F,Isa Town,SMS,0.8,89
C00103,Miranda Johnson,40,M,Manama,Call,0.35,59
C00104,Kendra Campbell,34,M,Manama,SMS,0.28,23
C00105,Megan Brooks,28,F,Riffa,SMS,0.84,59
C00106,Gregory Scott,38,M,Isa Town,SMS,0.44,40
C00107,Patricia Smith,22,F,Riffa,App,0.62,90
C00108,Christina Black,36,F,Manama,Call,0.82,42
C00109,Justin Davies,47,F,Manama,App,0.67,15
C00110,Michael Gonzalez,21,F,Muharraq,Email,1.0,88
C00111,Leonard Hester,40,F,Riffa,Call,0.04,51
C00112,Anna Garza,64,M,Riffa,App,0.18,93
C00113,Brett Holden,24,M,Muharraq,App,0.76,6
C00114,Vincent Johnson,50,F,Riffa,Call,0.19,32
C00115,Joseph Singleton,62,M,Manama,Call,0.37,73
C00116,Wendy Ruiz,27,M,Manama,App,0.58,12
C00117,Mitchell Lopez,65,M,Isa Town,SMS,0.52,13
C00118,Hector Cordova,55,M,Muharraq,Email,0.26,53
C00119,Betty Ramirez,39,F,Manama,Call,0.71,40
C00120,Anthony Medina,49,M,Riffa,Call,0.68,81
C00121,Vincent Woods,34,F,Isa Town,App,0.44,42
C00122,Sarah Scott,48,F,Manama,Email,0.51,11
C00123,Matthew Chavez,35,M,Manama,Email,0.71,83
C00124,Joshua Hill,40,F,Muharraq,Email,0.2,10
C00125,Monica Powell,53,F,Riffa,Call,0.05,82
C00126,Douglas Mills,60,F,Riffa,App,0.3,64
C00127,Samantha Graham,56,M,Manama,App,0.87,81
C00128,Christy Rodgers,26,F,Isa Town,App,0.42,15
C00129,Matthew Rosario,28,F,Riffa,Call,0.6,52
