employee_id,name,age,gender,department,role,join_date,salary_bhd
E00001,Tammy Hunter,28,F,Finance,HR,2020-08-22,5288.07
E00002,Frederick Davis,24,F,Operations,Manager,2022-03-31,6693.14
E00003,Cheryl Hale,32,F,Operations,Finance,2015-11-06,5083.18
E00004,Anthony Contreras,34,F,Operations,HR,2018-06-06,856.2
E00005,Travis Tucker,48,M,Sales,Finance,2023-01-29,5977.97
E00006,Jade Roberts,42,M,IT,Manager,2018-07-08,2675.13
E00007,Courtney Williamson,42,F,HR,Engineer,2021-01-05,3603.86
E00008,Linda Yang,38,M,Sales,HR,2020-09-11,7711.71
E00009,Laura Hall,55,F,IT,Support,2025-07-22,7344.69
E00010,Holly Mcintosh,57,M,IT,Engineer,2022-08-02,2346.19
E00011,Jason Lee,26,M,HR,HR,2019-02-03,6597.45
E00012,Sarah Moore,49,F,HR,Support,2019-06-24,7317.97
E00013,Jessica Russell,32,M,Operations,Support,2017-02-01,4881.78
E00014,Mary Bowers,43,M,Operations,HR,2021-10-18,5335.83
E00015,James Contreras,37,F,HR,Support,2018-05-25,7663.73
E00016,Roberta Cunningham,52,M,Sales,Finance,2022-04-07,4403.62
E00017,Karen Welch,27,M,HR,Manager,2024-04-27,5280.19
E00018,Edward Gould,50,M,HR,Finance,2020-06-08,6476.13
E00019,Kurt Williams,55,F,Finance,Support,2017-09-15,2909.44
E00020,Laura Barker,23,M,Operations,Manager,2020-02-26,6705.73
E00021,Paul Miller,29,F,Finance,Finance,2022-10-20,4817.44
E00022,Amy Henderson,43,F,Sales,Finance,2022-04-11,5348.77
E00023,Jeffrey Warner,30,F,Finance,Support,2017-08-02,5436.94
E00024,Kimberly Rodriguez,42,F,Finance,Finance,2021-09-16,1305.77
E00025,John Mills,52,M,Finance,Engineer,2022-05-05,6554.98
E00026,Michael James,23,F,Operations,Support,2016-08-29,7815.08
E00027,Carolyn Long,28,F,Operations,Engineer,2024-01-17,1041.44
E00028,Thomas Johnson,31,F,Sales,Finance,2017-04-10,1341.53
E00029,Robin Coleman,40,F,Sales,Sales,2021-06-17,5334.11
E00030,Julie Jones,35,F,HR,Support,2020-09-27,7822.79
E00031,Jeffrey Forbes,59,M,IT,Manager,2022-11-18,7826.25
E00032,Jesse Coleman,54,F,Operations,Engineer,2023-11-02,7408.05
E00033,Stephanie Castillo,60,M,IT,Engineer,2023-06-11,2426.92
E00034,William Neal,27,M,Sales,Engineer,2017-12-30,2060.56
E00035,Cynthia Meyer,41,M,IT,Sales,2023-09-21,7327.26
E00036,Joseph Davis,27,M,HR,Sales,2020-04-09,6381.35
E00037,Melissa Williams,25,M,Sales,Finance,2023-10-05,6886.99
E00038,Meghan Wilson MD,25,M,IT,Sales,2018-07-12,2555.11
E00039,Cheryl White,36,F,IT,Manager,2016-02-02,5602.64
E00040,Jeanette Dixon,56,F,IT,Support,2023-06-23,7384.78
E00041,Emily Gonzales,53,F,Sales,Finance,2018-11-14,5404.5
