customer_id,name,account_type,balance_bhd,join_date
CF00001,Desiree Robinson,Business,17710.64,2025-04-09
CF00002,Brianna Hayes,Savings,45750.62,2024-06-08
CF00003,Matthew Coleman,Business,5563.56,2020-07-03
CF00004,Barry Rose,Business,16883.7,2021-04-17
CF00005,Robert Mullen,Savings,38660.51,2017-05-15
CF00006,Courtney Robinson,Checking,4168.83,2017-09-25
CF00007,Michael King,Checking,16879.91,2021-04-24
CF00008,Kristina Andersen,Savings,31600.82,2025-02-23
CF00009,Debra Perez,Savings,39503.75,2020-03-13
CF00010,Madeline Park,Business,25396.75,2025-04-27
CF00011,Lindsey Poole,Savings,43385.93,2025-02-06
CF00012,Shane Robinson,Business,38529.81,2019-10-05
CF00013,Richard Page,Business,36379.6,2022-06-20
CF00014,Bryan Smith,Savings,40846.58,2022-11-26
CF00015,Brittney Johnson,Business,41853.69,2018-08-06
CF00016,Joshua Pennington,Checking,11482.32,2017-12-08
CF00017,Lisa Rich,Savings,41199.69,2015-12-05
CF00018,Charles Daniel,Business,15012.63,2023-03-20
CF00019,Mary Jackson,Savings,9279.24,2017-05-31
CF00020,Alexander Sanders,Business,24692.88,2022-11-28
CF00021,Adrian Chambers,Checking,39618.32,2024-03-21
CF00022,Wendy Wright,Business,15662.31,2021-01-19
CF00023,Allison Green,Checking,43890.91,2023-07-24
CF00024,Emma Mckinney,Checking,35386.49,2023-01-06
CF00025,Justin Randall,Savings,6128.09,2024-03-05
CF00026,Adrian Perry,Savings,47353.19,2017-07-27
CF00027,David Kennedy,Checking,5927.0,2018-12-20
CF00028,Steven Brown,Checking,38748.41,2024-05-01
CF00029,Donald Roberson,Business,23922.47,2024-06-17
CF00030,Sally Perez,Savings,24252.75,2024-02-18
CF00031,Jennifer Howard,Savings,16290.83,2022-12-30
CF00032,Walter Barrett,Checking,3043.88,2019-12-30
CF00033,Michael Lindsey,Savings,47040.14,2015-12-27
CF00034,Steven Fischer,Business,22467.65,2022-01-18
CF00035,Kathy Chandler,Business,39899.81,2016-06-02
CF00036,Erica Nelson,Savings,38199.76,2025-08-30
CF00037,Samuel Novak,Checking,25995.31,2021-06-04
CF00038,David Wright,Checking,35710.26,2019-07-06
CF00039,Daniel Rivera,Business,9081.96,2024-02-27
CF00040,Mary Hess,Checking,34926.64,2020-10-13
CF00041,Ronald Sandoval,Business,11408.24,2019-12-17
CF00042,Molly Huff,Business,27234.43,2023-04-27
CF00043,Carl Levy,Checking,30816.96,2017-11-14
CF00044,Andre Palmer,Business,44782.31,2021-04-22
CF00045,Michael Stone,Checking,20140.11,2015-10-17
CF00046,Taylor Garcia,Checking,24679.61,2022-07-18
CF00047,Kenneth Quinn,Checking,18506.78,2020-05-16
CF00048,Henry Hunter,Business,34127.63,2024-07-06
CF00049,Patrick Parks,Savings,32838.2,2021-11-16
CF00050,Loretta Mcbride,Savings,30573.96,2020-06-16
CF00051,Haley Reilly,Business,47900.99,2023-09-06
CF00052,Valerie Escobar,Savings,39997.95,2022-01-01
CF00053,Ryan Hernandez,Savings,25474.07,2021-03-19
CF00054,Patricia Peterson,Business,12230.6,2017-08-02
CF00055,Laura Jackson,Savings,31495.37,2020-12-30
CF00056,Alyssa Johnston,Business,5908.82,2016-07-12
CF00057,Anthony Long,Business,29679.65,2018-10-28
CF00058,Mike Pearson,Checking,30433.88,2023-12-08
CF00059,Mark Rhodes,Business,35716.66,2020-04-26
CF00060,Mark Schmidt,Savings,27722.51,2018-06-21
CF00061,James Moore,Business,27214.71,2025-07-18
CF00062,Angela Ashley,Checking,47943.59,2019-10-08
CF00063,Natasha Lopez,Business,2764.95,2022-02-20
CF00064,Jon Shelton,Savings,40685.87,2016-04-09
CF00065,Maureen Miller,Checking,19117.77,2025-09-19
CF00066,Karla Jones,Checking,25152.53,2018-09-20
CF00067,Veronica Bell,Business,5900.1,2023-04-29
CF00068,Selena Lucas,Business,18712.91,2018-03-15
CF00069,Seth Jones,Checking,38059.67,2024-04-23
CF00070,Chelsea Hampton,Checking,636.21,2023-05-24
CF00071,Michael Williams,Savings,5623.71,2016-05-30
CF00072,Jane Shaw,Savings,19373.95,2020-05-13
CF00073,Jenna Zhang,Business,9844.01,2020-07-27
CF00074,Jason Davis,Checking,47069.61,2016-08-01
CF00075,Michael Smith,Business,44896.35,2019-01-23
CF00076,James Riley,Savings,18838.98,2023-02-22
CF00077,Kyle James,Checking,32875.75,2023-08-09
CF00078,Dr. Richard Bell,Business,10395.62,2023-07-09
CF00079,Alexandra Ford,Savings,22130.75,2016-04-10
CF00080,David Perkins,Savings,37887.59,2016-03-09
CF00081,Timothy Cooper,Savings,22756.3,2022-04-13
CF00082,Alexander Dominguez,Business,26717.73,2021-08-31
CF00083,James Wheeler,Checking,7093.29,2020-01-28
CF00084,Jacqueline Parks,Savings,3006.99,2017-01-20
CF00085,Charles Shaffer,Business,3525.99,2023-11-25
CF00086,Karen Gallagher,Business,40774.5,2022-05-03
CF00087,Adam Wilson,Savings,21596.66,2023-07-27
CF00088,Robert Hernandez,Checking,38007.74,2022-08-12
CF00089,David Rivera,Savings,3643.01,2023-10-21
CF00090,Matthew Castillo,Savings,42091.77,2023-07-11
CF00091,Mary Smith,Checking,9443.81,2020-11-11
CF00092,Donna Simpson,Savings,24520.25,2024-02-14
CF00093,Jacob Moore,Checking,43492.94,2018-10-06
CF00094,Tracy Schneider,Savings,45930.91,2020-12-27
CF00095,Amanda Berry,Savings,37793.12,2015-11-19
CF00096,Robert Joseph,Checking,43070.33,2024-12-11
CF00097,Richard White,Business,43657.29,2020-07-21
CF00098,Kathy Snyder,Business,7218.58,2022-03-15
CF00099,George Gardner,Checking,30785.2,2017-12-18
CF00100,Brian Kim,Savings,1567.23,2016-02-12
CF00101,Heidi Peterson,Savings,29862.22,2019-06-09
CF00102,Denise Sosa,Business,39529.89,2024-12-04
CF00103,Ashley Sanchez,Checking,3287.15,2017-10-31
CF00104,Austin Ramos,Savings,20896.75,2019-12-29
CF00105,Shannon Mcpherson,Checking,48510.31,2022-11-29
CF00106,Lisa Richardson,Business,132.05,2020-05-06
CF00107,Tiffany Lambert,Savings,29791.69,2018-12-16
CF00108,Ronnie Fowler,Savings,49936.33,2020-10-25
CF00109,Todd Robbins,Checking,16738.06,2018-03-07
CF00110,Denise Evans,Business,4352.62,2016-12-08
CF00111,Mr. Rodney York MD,Business,6205.38,2016-08-26
CF00112,Alan Smith,Checking,8931.22,2017-04-11
CF00113,Virginia Spencer,Checking,23172.63,2020-10-16
CF00114,Gregory Berry,Savings,22941.14,2021-03-01
CF00115,David Lozano,Business,33779.33,2016-11-08
CF00116,Adam Welch,Checking,26839.33,2020-01-22
CF00117,Melissa Marquez,Business,2325.72,2018-04-17
CF00118,Mark Arias,Business,11907.58,2021-08-12
CF00119,Walter Washington,Business,5716.62,2025-03-20
CF00120,Cameron Ayala,Business,19933.82,2020-11-24
CF00121,David Myers,Checking,36845.44,2023-12-10
CF00122,Logan Atkinson,Checking,42352.0,2025-01-15
CF00123,Kelly Hodges,Business,33075.49,2024-05-12
CF00124,Karen Lucas,Checking,47564.31,2015-09-27
CF00125,Justin Russell,Checking,43963.87,2019-07-18
CF00126,Jared Jones,Checking,21212.7,2018-05-18
CF00127,Valerie Cowan,Business,39659.63,2023-04-21
CF00128,Bradley Lopez,Business,14231.68,2019-09-11
CF00129,Kirk Harvey,Savings,14776.15,2025-01-10
CF00130,Paul Poole,Business,4787.49,2018-08-02
CF00131,Elizabeth Spence,Savings,3782.65,2019-06-11
CF00132,Jasmine Wells,Business,3079.41,2025-04-27
CF00133,Veronica Howard,Business,18509.87,2018-07-22
CF00134,Jeffrey Rivera,Checking,8419.4,2016-03-24
CF00135,Tyler Stanley,Checking,39586.89,2015-12-11
CF00136,Zachary Mack,Checking,9296.16,2024-02-06
CF00137,Hunter Dillon,Checking,23964.24,2025-04-10
CF00138,Samantha Fischer,Business,18236.39,2021-10-01
CF00139,Evan Huber,Savings,36637.58,2020-09-08
CF00140,Michelle Hickman,Checking,32409.0,2018-12-27
CF00141,Jennifer Livingston,Savings,12390.32,2018-08-16
